CBBC,CAN,BC,Bella Bella,Airport,,43,52.185,-128.1567,6,1
CWAB,CAN,ON,Trowbridge,,,218,48.3,-88.8667,7,1
CWAC,CAN,BC,Nitinat Lake,,,36,48.6667,-124.8333,7,1
CWAD,CAN,BC,Cape Mudge,Lighthouse,,5,49.9983,-125.195,7,1
CWAE,CAN,BC,Whistler,,,658,50.1289,-122.9548,7,1
CWAF,CAN,QC,Ile Rouge,,,6,48.0689,-69.5556,7,1
CWAG,CAN,NF,La Scie,,,194,49.9167,-55.6667,8,1
CWAH,CAN,NS,Amherst,,,23,45.85,-64.2667,7,1
CWAJ,CAN,ON,Rondeau Harbour,,,178,42.25,-81.9,7,1
CWAN,CAN,BC,Amphitrite Point,,,27,48.9211,-125.54,7,1
CWAQ,CAN,SK,Coronach,,,756,49.05,-105.4833,7,1
CWAR,CAN,NF,Argentia,,,16,47.2939,-53.9933,7,1
CWAU,CAN,BC,Dryad Point,,,4,52.185,-128.1122,7,1
CWAV,CAN,AB,Sundre A,,,1114,51.7781,-114.6825,7,1
CWAX,CAN,NF,St Anthony,Town,,12,51.3667,-55.6,7,1
CWBD,CAN,SK,Indian Head,,,579,50.55,-103.65,7,1
CWBE,CAN,ON,Killarney,,,196,45.9667,-81.4833,7,1
CWBF,CAN,NF,Burgeo,,,11,47.6167,-57.6167,7,1
CWBG,CAN,BC,Big Creek,,,1670,51.2603,-123.0925,7,1
CWBI,CAN,ON,Britt,,,190,45.8,-80.5333,7,1
CWBK,CAN,NS,Caribou Point,,,2,45.7667,-62.6833,7,1
CWBM,CAN,AB,Beaverlodge,,,745,55.1967,-119.3964,8,1
CWBO,CAN,AB,Brooks,,,747,50.5553,-111.8489,7,1
CWBR,CAN,NU,Brown River,,,150,66.0333,-91.8333,8,1
CWBS,CAN,QC,Lac Saint Pierre,,,16,46.1833,-72.9167,7,1
CWBT,CAN,QC,Longue Pointe de Mingan,,,11,50.2714,-64.2264,7,1
CWBU,CAN,SK,Nipawin,,,374,53.3333,-104,8,1
CWBV,CAN,NS,Beaver Island,,,16,44.8167,-62.3333,7,1
CWBZ,CAN,QC,St Anicet,,,49,45.1208,-74.2894,7,1
CWCA,CAN,NF,Cartwright,,,14,53.7083,-57.035,7,1
CWCF,CAN,MB,Berens River,,,222,52.3597,-97.022,7,1
CWCI,CAN,ON,Caribou Island,,,187,47.3333,-85.8333,7,1
CWCJ,CAN,ON,Pukaskwa,,,208,48.5883,-86.2947,7,1
CWCL,CAN,BC,Clinton,,,1057,51.1447,-121.5047,7,1
CWCO,CAN,ON,Collingwood,,,180,44.5,-80.2167,7,1
CWCU,CAN,ON,Barrie,,,295,44.3833,-79.7833,7,1
CWCV,CAN,BC,Nootka Lightstation,,,16,49.6,-126.6167,7,1
CWCZ,CAN,BC,Addenbroke Island,,,21,51.6,-127.8667,7,1
CWDA,CAN,NF,Englee,,,30,50.7211,-56.1128,7,1
CWDC,CAN,SK,Uranium City,,WDC,318,59.5667,-108.4833,7,1
CWDD,CAN,ON,Belle River,,,184,42.3,-82.7,7,1
CWDF,CAN,ON,Oliphant,,,182,44.7167,-81.275,7,1
CWDH,CAN,NF,Daniels Harbour,,,19,50.2364,-57.5811,7,1
CWDI,CAN,NF,Badger,,,103,48.9667,-56.0667,7,1
CWDJ,CAN,SK,Regina,University,,577,50.4333,-104.6667,7,1
CWDK,CAN,AB,Claresholm,Industrial Airport,,1009,50.0036,-113.6386,7,1
CWDM,CAN,QC,Chevery,,,8,50.465,-59.6394,7,1
CWDO,CAN,NF,Twillingate,,,92,49.6833,-54.8,7,1
CWDQ,CAN,QC,La Tuque,,,169,47.4111,-72.7875,7,1
CWDR,CAN,BC,Discovery Island,,,15,48.4244,-123.2251,7,1
CWDT,CAN,QC,Chute-des-Passes,,,398,49.8403,-71.1683,7,1
CWDV,CAN,ON,Upsala,,,489,49.0333,-90.4667,7,1
CWDZ,CAN,AB,Drumheller East,,,678,51.4453,-112.6767,7,1
CWEB,CAN,BC,Estevan Point,,,7,49.3832,-126.5447,7,1
CWEC,CAN,ON,Welcome Island,,,211,48.3692,-89.1194,8,1
CWEE,CAN,QC,Chamouchouane,,,305,49.2833,-73.35,7,1
CWEF,CAN,NS,St Paul Island,,,27,47.2328,-60.1444,7,1
CWEH,CAN,SK,Eastend Cypress,,,1080,49.4378,-108.9886,7,1
CWEI,CAN,MB,Melita,,,446,49.2813,-100.9864,7,1
CWEK,CAN,BC,Grey Islet,,,8,54.5803,-130.6978,7,1
CWEL,CAN,BC,Entrance Island,,,5,49.2167,-123.8,7,1
CWEM,CAN,BC,Egg Island,,,14,51.2472,-127.8354,7,1
CWEO,CAN,QC,Lac Eon,,,589,51.8672,-63.2836,7,1
CWEP,CAN,PE,East Point,,,8,46.46,-61.9883,7,1
CWEQ,CAN,MB,Swan River,,,335,52.1167,-101.2333,7,1
CWER,CAN,QC,Ile D'Orleans,,,4,46.9967,-70.8083,7,1
CWES,CAN,BC,Cape Scott,,,72,50.7822,-128.4272,7,1
CWEU,CAN,NU,Eureka,Base/Upper Air,,10,79.9833,-85.9333,5,1
CWEW,CAN,QC,L'Assomption,,,21,45.8094,-73.4347,7,1
CWEX,CAN,MB,Emerson,,,242,49,-97.2375,8,1
CWEZ,CAN,BC,Saturna Island,,,24,48.7833,-123.05,7,1
CWFD,CAN,NU,Cape Dyer,Radar Site,,725,66.65,-61.3833,7,1
CWFF,CAN,SK,Melfort,,,490,52.8167,-104.6,7,1
CWFG,CAN,BC,Sartine Island,,,112,50.8211,-128.9081,7,1
CWFJ,CAN,AB,Cardston,,,1136,49.2006,-113.2858,7,1
CWFM,CAN,BC,Chatham Point,,,23,50.3333,-125.4333,7,1
CWFQ,CAN,QC,Frelighsburg,,,152,45.0503,-72.8617,7,1
CWFR,CAN,BC,Horsefly River,,,846,52.0047,-121.0008,7,1
CWGB,CAN,BC,Ballenas Island,,,13,49.3503,-124.1603,7,1
CWGH,CAN,ON,Grenadier Island,,,82,44.4167,-75.85,7,1
CWGL,CAN,ON,Lagoon City,,,221,44.5472,-79.2167,7,1
CWGM,CAN,AB,Waterton Park Gate,,,1289,49.1311,-113.8086,7,1
CWGN,CAN,MB,Gretna,,,253,49.0308,-97.56,7,1
CWGQ,CAN,QC,Roquemaure,,,269,48.6325,-79.4578,7,1
CWGR,CAN,QC,Iles De La Madeleine,,YGR,8,47.4253,-61.7747,7,1
CWGT,CAN,BC,Sisters Island,,,20,49.4866,-124.4349,7,1
CWGU,CAN,NS,Cape George,,,120,45.8742,-61.9014,7,1
CWGW,CAN,BC,Sparwood,,,1138,49.7453,-114.8828,7,1
CWGY,CAN,AB,Esther,,,707,51.6697,-110.2061,7,1
CWGZ,CAN,NU,Grise Fiord,,YGZ,45,76.4167,-82.9,7,1
CWHA,CAN,AB,Highvale,,,747,53.45,-114.4667,7,1
CWHC,CAN,BC,Vancouver Harbour,,,3,49.2954,-123.1219,7,1
CWHH,CAN,MB,Hunters Point,Marine,,256,53.0275,-100.9347,7,1
CWHI,CAN,AB,Three Hills,,,915,51.6989,-113.2303,7,1
CWHL,CAN,BC,Holland Rock,,,5,54.1725,-130.3594,7,1
CWHM,CAN,QC,Varennes,,,18,45.7231,-73.3767,7,1
CWHN,CAN,SK,Jimmy Lake,,,636,54.9,-109.9667,7,1
CWHP,CAN,QC,Heath Point,,,7,49.0853,-61.7006,7,1
CWHQ,CAN,QC,Deschambault,,,61,46.6908,-71.9717,7,1
CWHT,CAN,YT,Haines Junction,Airport,,596,60.7725,-137.5803,7,1
CWHV,CAN,QC,Beauceville,,,229,46.2,-70.7833,7,1
CWHY,CAN,QC,Mont-Orford,,,846,45.3118,-72.2407,7,1
CWIA,CAN,QC,St Henri,,,103,48.65,-71.85,7,1
CWIC,CAN,NU,Isachsen,,,58,78.7861,-103.55,7,1
CWID,CAN,NT,Fort Providence,Airport,,162,61.3169,-117.6019,7,1
CWIE,CAN,NT,Indin River,,,305,64.3889,-115.0211,7,1
CWIF,CAN,BC,Quatsino Lightstation,,,21,50.4411,-128.0325,7,1
CWIG,CAN,QC,Ile Aux Grues,,,18,47.0736,-70.5331,7,1
CWII,CAN,MB,Victoria Beach,,,220,50.7,-96.5667,7,1
CWIJ,CAN,NU,Lupin,,,488,65.7553,-111.2458,8,1
CWIK,CAN,SK,Broadview,Radar Site,,599.8,50.36805556,-102.5708333,7,1
CWIL,CAN,NU,Hat Island,,,36,68.3181,-100.0869,7,1
CWIO,CAN,BC,Iskut River,,,15,56.7333,-131.6667,7,1
CWIP,CAN,QC,Pointe Noire,,,24,50.1625,-66.4339,7,1
CWIQ,CAN,AB,Primrose Lake,,,702,54.75,-110.05,7,1
CWIT,CAN,QC,Ste-Clothilde,,,53,45.1672,-73.6789,7,1
CWIU,CAN,QC,St-gedeon,,,103,48.4833,-71.7833,7,1
CWIW,CAN,SK,Watrous East,,,526,51.6667,-105.4,7,1
CWIX,CAN,QC,Mistook,,,113,48.5983,-71.7158,7,1
CWIZ,CAN,QC,L'Acadie,,,44,45.2939,-73.3494,7,1
CWJB,CAN,QC,Ste Foy,U Laval,,91,46.7803,-71.2875,7,1
CWJC,CAN,NU,Ennadai Lake,,,353,61.1319,-100.8839,7,1
CWJD,CAN,MB,Grand Rapids,,,223,53.1864,-99.2678,7,1
CWJG,CAN,BC,Ivory Island,,,10,52.2697,-128.4067,7,1
CWJH,CAN,SK,Southend,,,344,56.3333,-103.2833,7,1
CWJI,CAN,SK,Assiniboia,Airport,,726,49.7292,-105.9461,7,1
CWJM,CAN,ON,Rideau Narrows Locks,,,125,44.7,-76.3,7,1
CWJN,CAN,YT,Herschel Island,,,1,69.5682,-138.9134,8,1
CWJO,CAN,QC,Jonquiere,,,128,48.4211,-71.1481,7,1
CWJR,CAN,BC,Creston,Campbell Scientific,,646,49.0819,-116.5006,7,1
CWJT,CAN,QC,St-Jovite,,,239,46.0803,-74.5558,7,1
CWJV,CAN,BC,Vernon,,,482,50.2231,-119.1936,7,1
CWJW,CAN,AB,Jasper,Warden,,1020,52.9264,-118.0297,7,1
CWJX,CAN,SK,Leader,Airport,,676,50.9095,-109.5014,7,1
CWKD,CAN,QC,Bonnard,,,498,50.7289,-71.0131,7,1
CWKG,CAN,NS,Kejimkujik,,,165,44.4322,-65.2031,7,1
CWKH,CAN,BC,Malahat,,,275,48.5833,-123.5833,7,1
CWKK,CAN,ON,Katatota Island,,,261,49.7131,-88.3322,8,1
CWKM,CAN,YT,Komakuk Beach,,,13,69.5833,-140.1833,7,1
CWKO,CAN,SK,Rockglen,,,917,49.1678,-105.9792,7,1
CWKP,CAN,NT,Keats Point,,,330,69.6728,-121.6725,8,1
CWKS,CAN,BC,Sikanni Chief,Weather Site,,937,57.2503,-122.7181,7,1
CWKV,CAN,BC,Hope Slide,,,688,49.275,-121.2364,7,1
CWKW,CAN,NF,Cape Kakkiviak,,,551,59.985,-64.165,7,1
CWLA,CAN,BC,Langara Island,,,41,54.2553,-133.0581,7,1
CWLB,CAN,AB,Lac La Biche,,,567,54.7667,-112.0167,7,1
